model,accuracy,precision,recall,f1_score,roc_auc
Logistic Regression,0.7315121412803532,0.3107491480390458,0.7610694581977648,0.441309162496924,0.8196313622060201
Random Forest,0.7401450646483759,0.3181250371780382,0.7565426510114585,0.4479061976549414,0.8241379155403553
Gradient Boosting,0.865302743614002,0.5586620069895157,0.15829678879615222,0.2466931216931217,0.8270776121614313
