model,accuracy,precision,recall,f1_score,roc_auc
Logistic Regression,0.86,0.7333333333333333,0.7857142857142857,0.7586206896551724,0.9384920634920635
Random Forest,0.86,0.7333333333333333,0.7857142857142857,0.7586206896551724,0.9345238095238095
Decision Tree,0.84,0.6875,0.7857142857142857,0.7333333333333333,0.8253968253968255
